Time,Charleville Mall,Charleville Mall Cyclist IN,Charleville Mall Cyclist OUT,Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist IN,Clontarf - James Larkin Rd Cyclist OUT,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist IN,Clontarf - Pebble Beach Carpark Cyclist OUT,Drumcondra Cyclists 1,Drumcondra Cyclists 1 Cyclist IN,Drumcondra Cyclists 1 Cyclist OUT,Drumcondra Cyclists 2,Drumcondra Cyclists 2 Cyclist IN,Drumcondra Cyclists 2 Cyclist OUT,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist IN,Griffith Avenue (Clare Rd Side) Cyclist OUT,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist IN,Griffith Avenue (Lane Side) Cyclist OUT,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B,North Strand Rd S/B,Richmond Street Cyclists 1,Richmond Street Cyclists 1 Cyclist IN,Richmond Street Cyclists 1 Cyclist OUT,Richmond Street Cyclists 2 ,Richmond Street Cyclists 2  Cyclist IN,Richmond Street Cyclists 2  Cyclist OUT
1/1/2023 0:00,1,0,1,1,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,,8,0,8,2,0,2
1/1/2023 1:00,0,0,0,6,4,2,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,13,9,4,0,,6,0,6,0,0,0
1/1/2023 2:00,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,9,4,5,0,,9,0,9,3,0,3
1/1/2023 3:00,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,12,7,5,0,,8,0,8,4,1,3
1/1/2023 4:00,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,2,0,0,0,0,17,13,4,0,,4,0,4,4,0,4
1/1/2023 5:00,2,1,1,3,1,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,9,0,9,3,0,3
1/1/2023 6:00,2,2,0,1,1,0,5,3,2,0,0,0,5,5,0,1,1,0,0,0,0,14,7,7,0,,3,0,3,7,0,7
1/1/2023 7:00,3,2,1,1,0,1,3,1,2,0,0,0,4,4,0,0,0,0,0,0,0,22,5,17,0,,4,0,4,2,0,2
1/1/2023 8:00,0,0,0,6,2,4,12,2,10,0,0,0,2,2,0,1,1,0,0,0,0,22,7,15,0,,8,1,7,7,0,7
1/1/2023 9:00,2,1,1,32,12,20,36,14,22,0,0,0,2,2,0,1,1,0,0,0,0,21,7,14,0,,7,0,7,16,0,16
1/1/2023 10:00,2,2,0,50,15,35,58,19,39,0,0,0,4,3,1,1,1,0,0,0,0,18,6,12,0,,12,0,12,11,0,11
1/1/2023 11:00,4,3,1,60,28,32,68,27,41,0,0,0,0,0,0,11,11,0,7,7,0,15,6,9,0,,10,0,10,18,0,18
1/1/2023 12:00,5,4,1,60,28,32,103,50,53,0,0,0,0,0,0,7,7,0,4,4,0,30,16,14,0,,19,0,19,24,0,24
1/1/2023 13:00,4,3,1,65,33,32,74,35,39,0,0,0,0,0,0,7,7,0,5,5,0,35,12,23,0,,21,0,21,21,0,21
1/1/2023 14:00,6,2,4,58,27,31,76,41,35,0,0,0,1,1,0,9,9,0,2,2,0,38,14,24,0,,16,0,16,24,0,24
1/1/2023 15:00,7,4,3,41,24,17,62,38,24,0,0,0,0,0,0,3,3,0,1,1,0,42,18,24,0,,27,0,27,36,1,35
1/1/2023 16:00,9,3,6,37,25,12,35,18,17,0,0,0,2,2,0,5,5,0,9,9,0,46,24,22,0,,30,0,30,33,1,32
1/1/2023 17:00,4,3,1,12,8,4,22,12,10,0,0,0,2,2,0,1,1,0,4,4,0,50,26,24,0,,38,0,38,42,1,41
1/1/2023 18:00,9,5,4,10,5,5,13,7,6,0,0,0,7,7,0,6,6,0,0,0,0,42,19,23,0,,40,0,40,47,0,47
1/1/2023 19:00,4,3,1,0,0,0,1,1,0,0,0,0,3,3,0,4,4,0,1,1,0,39,18,21,0,,36,2,34,24,0,24
1/1/2023 20:00,2,1,1,1,1,0,6,1,5,0,0,0,2,2,0,2,2,0,1,1,0,43,22,21,0,,37,0,37,38,0,38
1/1/2023 21:00,3,3,0,0,0,0,2,1,1,0,0,0,1,1,0,2,2,0,0,0,0,36,15,21,0,,25,0,25,34,1,33
1/1/2023 22:00,1,1,0,2,1,1,8,3,5,0,0,0,1,1,0,3,3,0,0,0,0,26,10,16,0,,19,0,19,24,0,24
1/1/2023 23:00,2,1,1,1,0,1,6,2,4,0,0,0,0,0,0,1,1,0,1,1,0,17,13,4,0,,12,0,12,10,0,10
2/1/2023 0:00,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3,0,,9,0,9,5,0,5
2/1/2023 1:00,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,1,0,1,0,0,0
2/1/2023 2:00,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,,2,0,2,1,0,1
2/1/2023 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,1,0,1
2/1/2023 4:00,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,,0,0,0,0,0,0
2/1/2023 5:00,4,3,1,1,0,1,3,1,2,0,0,0,1,1,0,1,1,0,0,0,0,9,5,4,0,,3,0,3,0,0,0
2/1/2023 6:00,2,1,1,2,2,0,8,3,5,0,0,0,2,2,0,1,1,0,0,0,0,25,6,19,0,,3,0,3,7,0,7
2/1/2023 7:00,4,4,0,4,3,1,7,4,3,0,0,0,4,4,0,0,0,0,0,0,0,23,6,17,0,,12,0,12,3,0,3
2/1/2023 8:00,4,3,1,22,8,14,24,10,14,0,0,0,6,6,0,2,2,0,0,0,0,40,13,27,0,,4,0,4,3,0,3
2/1/2023 9:00,4,2,2,71,26,45,96,39,57,0,0,0,5,5,0,1,1,0,0,0,0,43,10,33,0,,9,0,9,23,0,23
2/1/2023 10:00,3,2,1,113,44,69,120,46,74,0,0,0,4,4,0,3,3,0,0,0,0,47,10,37,0,,11,0,11,27,0,27
2/1/2023 11:00,10,6,4,136,55,81,154,58,96,0,0,0,4,4,0,6,6,0,0,0,0,41,19,22,0,,28,0,28,33,0,33
2/1/2023 12:00,12,6,6,164,69,95,186,82,104,0,0,0,1,1,0,18,18,0,0,0,0,55,25,30,0,,35,0,35,59,2,57
2/1/2023 13:00,9,5,4,173,91,82,190,91,99,0,0,0,4,3,1,10,10,0,0,0,0,72,34,38,0,,39,0,39,60,2,58
2/1/2023 14:00,15,12,3,145,75,70,173,94,79,0,0,0,3,3,0,14,14,0,12,12,0,66,23,43,0,,56,0,56,61,1,60
2/1/2023 15:00,7,4,3,103,67,36,143,77,66,0,0,0,2,2,0,13,13,0,8,8,0,99,48,51,0,,49,0,49,48,1,47
2/1/2023 16:00,5,2,3,67,42,25,81,51,30,0,0,0,0,0,0,8,8,0,5,5,0,79,35,44,0,,57,1,56,53,0,53
2/1/2023 17:00,10,3,7,19,12,7,35,23,12,0,0,0,0,0,0,7,7,0,0,0,0,89,37,52,0,,59,1,58,55,2,53
2/1/2023 18:00,8,5,3,18,10,8,16,10,6,0,0,0,5,5,0,4,4,0,0,0,0,74,32,42,0,,72,1,71,54,1,53
2/1/2023 19:00,7,5,2,8,2,6,12,5,7,0,0,0,7,7,0,4,4,0,0,0,0,68,39,29,0,,47,1,46,53,0,53
2/1/2023 20:00,4,1,3,12,3,9,16,7,9,0,0,0,3,3,0,5,5,0,0,0,0,50,29,21,0,,55,0,55,41,0,41
2/1/2023 21:00,7,6,1,6,4,2,3,1,2,0,0,0,1,0,1,4,4,0,0,0,0,41,17,24,0,,44,0,44,39,0,39
2/1/2023 22:00,4,2,2,2,2,0,3,2,1,0,0,0,1,1,0,3,3,0,0,0,0,28,17,11,0,,26,0,26,17,0,17
2/1/2023 23:00,1,0,1,2,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,20,10,10,0,,15,0,15,6,0,6
3/1/2023 0:00,1,1,0,3,3,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,,12,0,12,7,0,7
3/1/2023 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,,2,0,2,0,0,0
3/1/2023 2:00,1,0,1,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,1,0,1
3/1/2023 3:00,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,,2,0,2,0,0,0
3/1/2023 4:00,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,,1,0,1,0,0,0
3/1/2023 5:00,0,0,0,2,1,1,4,2,2,0,0,0,2,1,1,1,1,0,0,0,0,16,2,14,0,,2,0,2,7,0,7
3/1/2023 6:00,9,9,0,6,5,1,8,6,2,0,0,0,13,13,0,4,4,0,0,0,0,84,15,69,0,,6,0,6,14,0,14
3/1/2023 7:00,15,14,1,25,22,3,36,30,6,0,0,0,19,19,0,6,6,0,5,5,0,168,41,127,0,,14,0,14,41,1,40
3/1/2023 8:00,49,43,6,34,27,7,50,40,10,0,0,0,39,39,0,17,17,0,6,6,0,301,54,247,0,,32,0,32,93,1,92
3/1/2023 9:00,13,10,3,25,16,9,33,21,12,0,0,0,16,15,1,4,4,0,0,0,0,115,18,97,0,,18,0,18,62,0,62
3/1/2023 10:00,8,6,2,19,8,11,24,10,14,0,0,0,8,7,1,6,6,0,3,3,0,48,20,28,0,,17,0,17,28,0,28
3/1/2023 11:00,4,3,1,12,8,4,17,8,9,0,0,0,5,5,0,7,7,0,5,5,0,41,12,29,0,,31,0,31,39,0,39
3/1/2023 12:00,8,5,3,17,5,12,25,12,13,0,0,0,5,5,0,2,2,0,6,6,0,60,15,45,0,,51,0,51,55,0,55
3/1/2023 13:00,11,6,5,26,13,13,33,12,21,0,0,0,3,3,0,5,5,0,5,5,0,60,28,32,0,,53,0,53,63,1,62
3/1/2023 14:00,13,9,4,30,15,15,39,13,26,0,0,0,1,1,0,4,4,0,1,1,0,90,46,44,0,,38,0,38,54,0,54
3/1/2023 15:00,13,8,5,29,12,17,44,16,28,0,0,0,1,1,0,9,9,0,9,9,0,108,56,52,0,,63,0,63,65,0,65
3/1/2023 16:00,15,6,9,30,13,17,57,26,31,0,0,0,0,0,0,24,24,0,6,6,0,194,109,85,0,,114,2,112,52,0,52
3/1/2023 17:00,32,10,22,50,10,40,70,11,59,0,0,0,2,2,0,21,21,0,12,12,0,280,167,113,0,,154,0,154,63,0,63
3/1/2023 18:00,21,10,11,27,4,23,41,6,35,0,0,0,6,5,1,17,17,0,1,1,0,190,124,66,0,,111,0,111,87,0,87
3/1/2023 19:00,6,4,2,16,5,11,28,7,21,0,0,0,0,0,0,7,7,0,1,1,0,90,55,35,0,,77,0,77,87,1,86
3/1/2023 20:00,13,5,8,6,2,4,8,6,2,0,0,0,2,2,0,7,7,0,0,0,0,59,32,27,0,,61,0,61,61,0,61
3/1/2023 21:00,7,3,4,7,1,6,10,1,9,0,0,0,0,0,0,2,2,0,0,0,0,39,25,14,0,,47,0,47,37,0,37
3/1/2023 22:00,2,2,0,4,1,3,6,0,6,0,0,0,1,1,0,2,2,0,1,1,0,30,16,14,0,,23,0,23,15,0,15
3/1/2023 23:00,2,0,2,1,0,1,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,14,10,4,0,,16,0,16,11,0,11
4/1/2023 0:00,0,0,0,2,2,0,4,2,2,0,0,0,1,1,0,3,3,0,0,0,0,7,6,1,0,,11,0,11,8,0,8
4/1/2023 1:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,,2,0,2,2,0,2
4/1/2023 2:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,3,0,3,1,0,1
4/1/2023 3:00,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,,3,0,3,1,0,1
4/1/2023 4:00,2,2,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,3,1,2,0,,1,0,1,1,0,1
4/1/2023 5:00,2,2,0,5,4,1,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0,24,4,20,0,,2,0,2,5,0,5
4/1/2023 6:00,10,8,2,9,5,4,8,4,4,0,0,0,12,12,0,5,5,0,1,1,0,92,18,74,0,,5,0,5,20,0,20
4/1/2023 7:00,24,23,1,20,14,6,32,21,11,0,0,0,21,21,0,7,7,0,9,9,0,189,42,147,0,,25,0,25,56,0,56
4/1/2023 8:00,65,57,8,31,25,6,56,45,11,0,0,0,43,43,0,20,20,0,17,17,0,356,59,297,0,,34,0,34,134,0,134
4/1/2023 9:00,31,28,3,16,9,7,29,17,12,0,0,0,11,11,0,11,11,0,10,10,0,145,32,113,0,,21,0,21,87,0,87
4/1/2023 10:00,19,17,2,24,10,14,31,9,22,0,0,0,8,8,0,4,4,0,3,3,0,75,22,53,0,,16,0,16,44,0,44
4/1/2023 11:00,8,6,2,39,15,24,37,11,26,0,0,0,7,7,0,7,7,0,5,5,0,55,17,38,0,,34,0,34,47,1,46
4/1/2023 12:00,7,5,2,43,23,20,51,25,26,0,0,0,6,6,0,12,12,0,5,5,0,65,25,40,0,,42,0,42,65,1,64
4/1/2023 13:00,9,7,2,36,21,15,48,19,29,0,0,0,3,2,1,8,8,0,5,5,0,85,33,52,0,,46,0,46,58,1,57
4/1/2023 14:00,11,5,6,41,19,22,32,11,21,0,0,0,4,4,0,7,7,0,4,4,0,72,42,30,0,,46,0,46,58,1,57
4/1/2023 15:00,8,2,6,18,6,12,32,15,17,0,0,0,4,4,0,5,5,0,6,6,0,92,52,40,0,,58,1,57,52,1,51
4/1/2023 16:00,27,7,20,37,15,22,49,15,34,0,0,0,2,2,0,14,14,0,2,2,0,194,108,86,0,,105,0,105,49,0,49
4/1/2023 17:00,35,8,27,50,10,40,81,16,65,0,0,0,3,3,0,28,28,0,0,0,0,290,191,99,0,,161,1,160,79,0,79
4/1/2023 18:00,13,6,7,42,8,34,60,8,52,0,0,0,1,1,0,14,14,0,0,0,0,225,124,101,0,,114,0,114,81,0,81
4/1/2023 19:00,13,7,6,24,3,21,27,8,19,0,0,0,1,1,0,4,4,0,0,0,0,113,66,47,0,,70,0,70,61,0,61
4/1/2023 20:00,8,2,6,20,6,14,24,10,14,0,0,0,2,2,0,9,9,0,0,0,0,61,36,25,0,,65,0,65,52,0,52
4/1/2023 21:00,1,0,1,8,3,5,13,4,9,0,0,0,0,0,0,6,6,0,0,0,0,57,35,22,0,,61,2,59,42,2,40
4/1/2023 22:00,3,2,1,5,4,1,2,1,1,0,0,0,1,1,0,3,3,0,0,0,0,49,32,17,0,,29,0,29,28,0,28
4/1/2023 23:00,1,0,1,4,2,2,5,1,4,0,0,0,1,1,0,2,2,0,0,0,0,20,14,6,0,,22,0,22,7,0,7
5/1/2023 0:00,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,5,3,0,,11,0,11,1,0,1
5/1/2023 1:00,2,0,2,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0
5/1/2023 2:00,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,7,0,7,0,0,0
5/1/2023 3:00,1,1,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,3,0,3,0,0,0
5/1/2023 4:00,2,1,1,4,3,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,,0,0,0,1,0,1
5/1/2023 5:00,1,1,0,3,2,1,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,25,5,20,0,,2,0,2,3,0,3
5/1/2023 6:00,12,12,0,14,11,3,16,12,4,0,0,0,11,11,0,6,6,0,1,1,0,94,17,77,0,,2,0,2,14,0,14
5/1/2023 7:00,27,25,2,50,40,10,63,47,16,0,0,0,29,29,0,12,12,0,11,11,0,209,45,164,0,,27,0,27,53,0,53
5/1/2023 8:00,81,69,12,58,46,12,97,78,19,0,0,0,40,40,0,38,38,0,74,74,0,477,81,396,0,,46,0,46,152,0,152
5/1/2023 9:00,25,22,3,35,25,10,54,38,16,0,0,0,19,19,0,16,16,0,9,9,0,178,34,144,0,,23,0,23,95,0,95
5/1/2023 10:00,11,11,0,31,20,11,37,14,23,0,0,0,9,8,1,3,3,0,5,5,0,76,30,46,0,,31,0,31,38,0,38
5/1/2023 11:00,12,8,4,46,21,25,53,25,28,0,0,0,4,3,1,9,9,0,0,0,0,81,22,59,0,,24,0,24,47,0,47
5/1/2023 12:00,10,8,2,38,18,20,54,25,29,0,0,0,3,3,0,5,5,0,0,0,0,74,34,40,0,,82,0,82,67,0,67
5/1/2023 13:00,7,5,2,29,14,15,43,20,23,0,0,0,1,1,0,13,13,0,0,0,0,98,46,52,0,,52,0,52,83,0,83
5/1/2023 14:00,8,4,4,29,11,18,39,16,23,0,0,0,2,2,0,6,6,0,0,0,0,84,43,41,0,,63,0,63,74,0,74
5/1/2023 15:00,15,10,5,22,3,19,33,8,25,0,0,0,3,3,0,49,49,0,10,10,0,116,74,42,0,,73,0,73,76,0,76
5/1/2023 16:00,30,14,16,30,12,18,35,7,28,0,0,0,1,1,0,30,30,0,4,4,0,179,114,65,0,,98,0,98,56,0,56
5/1/2023 17:00,50,17,33,58,4,54,82,8,74,0,0,0,0,0,0,30,30,0,1,1,0,293,195,98,0,,181,1,180,78,0,78
5/1/2023 18:00,17,6,11,37,7,30,67,10,57,0,0,0,2,2,0,22,22,0,3,3,0,249,177,72,0,,126,0,126,66,1,65
5/1/2023 19:00,10,4,6,24,5,19,33,8,25,0,0,0,3,3,0,11,11,0,5,5,0,125,81,44,0,,68,0,68,74,0,74
5/1/2023 20:00,8,5,3,14,4,10,19,7,12,0,0,0,2,2,0,10,10,0,7,7,0,70,39,31,0,,61,0,61,64,0,64
5/1/2023 21:00,3,2,1,8,4,4,12,1,11,0,0,0,2,2,0,9,9,0,3,3,0,41,26,15,0,,53,0,53,40,0,40
5/1/2023 22:00,8,3,5,3,1,2,9,2,7,0,0,0,1,1,0,4,4,0,2,2,0,39,23,16,0,,43,0,43,23,0,23
5/1/2023 23:00,1,1,0,4,0,4,6,0,6,0,0,0,0,0,0,5,5,0,0,0,0,21,15,6,0,,25,0,25,12,0,12
6/1/2023 0:00,1,1,0,3,2,1,3,2,1,0,0,0,1,1,0,1,1,0,0,0,0,8,4,4,0,,12,0,12,5,0,5
6/1/2023 1:00,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3,1,0,,1,0,1,0,0,0
6/1/2023 2:00,1,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,2,0,2,2,0,2
6/1/2023 3:00,1,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,,1,1,0,2,0,2
6/1/2023 4:00,2,2,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,,3,0,3,0,0,0
6/1/2023 5:00,1,0,1,3,2,1,3,2,1,0,0,0,2,2,0,1,1,0,0,0,0,21,2,19,0,,1,0,1,8,0,8
6/1/2023 6:00,13,12,1,10,7,3,13,9,4,0,0,0,8,8,0,9,9,0,1,1,0,84,15,69,0,,4,0,4,16,0,16
6/1/2023 7:00,18,17,1,31,23,8,41,34,7,0,0,0,13,13,0,10,10,0,0,0,0,183,43,140,0,,24,0,24,51,0,51
6/1/2023 8:00,60,54,6,61,47,14,76,62,14,0,0,0,44,44,0,41,41,0,0,0,0,336,63,273,0,,31,1,30,87,0,87
6/1/2023 9:00,22,18,4,33,22,11,43,25,18,0,0,0,18,18,0,6,6,0,0,0,0,154,31,123,0,,22,0,22,95,1,94
6/1/2023 10:00,8,7,1,48,23,25,50,15,35,0,0,0,9,8,1,6,6,0,0,0,0,48,18,30,0,,22,1,21,34,0,34
6/1/2023 11:00,14,11,3,52,23,29,60,22,38,0,0,0,8,8,0,1,1,0,0,0,0,72,25,47,0,,26,0,26,68,0,68
6/1/2023 12:00,9,6,3,66,36,30,83,37,46,0,0,0,3,3,0,16,16,0,0,0,0,33,33,0,0,,56,0,56,85,0,85
6/1/2023 13:00,9,6,3,54,25,29,78,39,39,0,0,0,3,3,0,32,32,0,5,5,0,96,46,50,0,,65,0,65,66,0,66
6/1/2023 14:00,9,5,4,49,20,29,53,23,30,0,0,0,6,6,0,20,20,0,11,11,0,95,52,43,0,,65,0,65,60,0,60
6/1/2023 15:00,14,5,9,46,21,25,60,23,37,0,0,0,2,2,0,25,25,0,10,10,0,140,78,62,0,,69,0,69,77,0,77
6/1/2023 16:00,24,9,15,46,17,29,68,27,41,0,0,0,1,1,0,23,23,0,1,1,0,185,101,84,0,,112,0,112,66,1,65
6/1/2023 17:00,25,9,16,46,13,33,64,14,50,0,0,0,8,8,0,28,28,0,1,1,0,238,163,75,0,,150,0,150,81,0,81
6/1/2023 18:00,12,9,3,43,13,30,61,17,44,0,0,0,6,6,0,13,13,0,10,10,0,159,93,66,0,,95,0,95,88,1,87
6/1/2023 19:00,11,5,6,17,6,11,28,11,17,0,0,0,5,5,0,7,7,0,3,3,0,115,72,43,0,,111,1,110,62,0,62
6/1/2023 20:00,9,7,2,10,5,5,16,5,11,0,0,0,4,4,0,5,5,0,1,1,0,97,57,40,0,,63,0,63,72,0,72
6/1/2023 21:00,8,6,2,8,4,4,11,4,7,0,0,0,2,2,0,6,6,0,2,2,0,58,35,23,0,,49,0,49,61,0,61
6/1/2023 22:00,8,7,1,2,1,1,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,42,24,18,0,,34,0,34,33,0,33
6/1/2023 23:00,3,2,1,3,0,3,5,0,5,0,0,0,2,2,0,0,0,0,0,0,0,27,14,13,0,,22,2,20,13,0,13
7/1/2023 0:00,0,0,0,0,0,0,3,1,2,0,0,0,1,1,0,2,2,0,0,0,0,16,9,7,0,,24,0,24,9,0,9
7/1/2023 1:00,2,1,1,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,15,9,6,0,,8,0,8,0,0,0
7/1/2023 2:00,1,1,0,1,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,10,7,3,0,,13,0,13,5,0,5
7/1/2023 3:00,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,,7,1,6,5,0,5
7/1/2023 4:00,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,0,,5,0,5,2,0,2
7/1/2023 5:00,1,0,1,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,5,1,4,0,,3,0,3,1,0,1
7/1/2023 6:00,3,2,1,2,2,0,2,2,0,0,0,0,3,3,0,3,3,0,2,2,0,15,3,12,0,,2,0,2,6,0,6
7/1/2023 7:00,4,3,1,9,3,6,14,4,10,0,0,0,6,6,0,2,2,0,0,0,0,37,12,25,0,,7,0,7,13,0,13
7/1/2023 8:00,4,4,0,52,25,27,59,24,35,0,0,0,8,8,0,5,5,0,1,1,0,57,13,44,0,,7,0,7,15,0,15
7/1/2023 9:00,16,13,3,76,38,38,86,34,52,0,0,0,12,12,0,8,8,0,0,0,0,60,19,41,0,,16,0,16,35,1,34
7/1/2023 10:00,9,7,2,98,46,52,96,44,52,0,0,0,6,6,0,14,14,0,0,0,0,55,20,35,0,,26,0,26,55,0,55
7/1/2023 11:00,6,3,3,93,41,52,124,58,66,0,0,0,2,2,0,11,11,0,2,2,0,70,25,45,0,,37,0,37,78,0,78
7/1/2023 12:00,14,9,5,77,39,38,95,44,51,0,0,0,1,1,0,10,10,0,0,0,0,87,36,51,0,,43,0,43,72,0,72
7/1/2023 13:00,8,5,3,77,43,34,105,50,55,0,0,0,2,2,0,14,14,0,0,0,0,97,41,56,0,,68,0,68,67,0,67
7/1/2023 14:00,11,7,4,83,46,37,95,41,54,0,0,0,7,7,0,14,14,0,0,0,0,98,51,47,0,,57,0,57,60,0,60
7/1/2023 15:00,19,9,10,63,25,38,78,40,38,0,0,0,11,11,0,12,12,0,0,0,0,73,32,41,0,,60,2,58,77,2,75
7/1/2023 16:00,11,7,4,36,20,16,42,24,18,0,0,0,13,12,1,14,14,0,0,0,0,99,47,52,0,,68,0,68,69,0,69
7/1/2023 17:00,12,7,5,19,8,11,31,13,18,0,0,0,5,4,1,8,8,0,5,5,0,81,34,47,0,,56,0,56,58,0,58
7/1/2023 18:00,3,3,0,4,2,2,12,7,5,0,0,0,3,3,0,2,2,0,0,0,0,74,38,36,0,,68,1,67,61,1,60
7/1/2023 19:00,6,1,5,5,1,4,10,3,7,0,0,0,3,3,0,3,3,0,0,0,0,79,37,42,0,,73,1,72,100,0,100
7/1/2023 20:00,4,1,3,4,1,3,4,1,3,0,0,0,3,3,0,6,6,0,0,0,0,58,23,35,0,,50,0,50,86,1,85
7/1/2023 21:00,4,4,0,2,0,2,5,1,4,0,0,0,2,2,0,3,3,0,0,0,0,36,17,19,0,,32,0,32,46,1,45
7/1/2023 22:00,11,9,2,2,2,0,4,2,2,0,0,0,3,3,0,2,2,0,0,0,0,24,12,12,0,,26,0,26,24,1,23
7/1/2023 23:00,2,1,1,0,0,0,4,1,3,0,0,0,2,2,0,1,1,0,0,0,0,21,15,6,0,,16,0,16,13,0,13
8/1/2023 0:00,3,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,12,9,3,0,,20,0,20,19,0,19
8/1/2023 1:00,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,11,10,1,0,,2,0,2,0,0,0
8/1/2023 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,,11,0,11,6,0,6
8/1/2023 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,8,2,0,,7,1,6,3,0,3
8/1/2023 4:00,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,5,1,0,,3,0,3,3,0,3
8/1/2023 5:00,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,0,,4,0,4,1,0,1
8/1/2023 6:00,1,1,0,1,1,0,3,1,2,0,0,0,1,1,0,1,1,0,0,0,0,18,6,12,0,,2,0,2,4,0,4
8/1/2023 7:00,0,0,0,8,3,5,7,3,4,0,0,0,6,6,0,1,1,0,1,1,0,22,4,18,0,,6,0,6,7,0,7
8/1/2023 8:00,4,4,0,42,19,23,54,18,36,0,0,0,8,7,1,4,4,0,3,3,0,27,8,19,0,,6,0,6,8,0,8
8/1/2023 9:00,5,4,1,95,33,62,112,48,64,0,0,0,5,5,0,26,26,0,11,11,0,37,14,23,0,,10,1,9,20,0,20
8/1/2023 10:00,4,4,0,136,54,82,155,53,102,0,0,0,4,4,0,7,7,0,8,8,0,56,11,45,0,,21,0,21,31,0,31
8/1/2023 11:00,11,7,4,126,67,59,150,67,83,0,0,0,7,6,1,8,8,0,9,9,0,91,30,61,0,,30,0,30,33,0,33
8/1/2023 12:00,12,9,3,137,68,69,193,94,99,0,0,0,6,6,0,8,8,0,5,5,0,81,35,46,0,,45,0,45,52,0,52
